evaspot_name,japanese_name,evaspot_kind_name,diskinds,evaspot_capacity,cities_name,cities_subdiv,cities_subarea_name,shelter_status_name,longitude,latitude,内水氾濫,土石流,地震,大規模な火事,崖崩れ・地滑り,津波,洪水,高潮
勝山市体育館「ジオアリーナ」,かつやましたいいくかん「じおありーな」,指定避難所,[],866,勝山市,勝山市昭和町2丁目4-20,勝山地区,未開設,136.5099083,36.06497778,0,0,0,0,0,0,0,0
昭和町公園,しょうわまちこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",650,勝山市,勝山市昭和町１丁目,勝山地区,未開設,136.504972,36.061035,0,1,1,0,0,0,1,0
勝山高等学校グラウンド,かつやまこうとうがっこうぐらうんど,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市昭和町２丁目３－１,勝山地区,未開設,136.507867,36.064532,0,0,1,0,0,0,1,0
成器西小学校グラウンド,せいきにししょうがっこうぐらうんど,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市昭和町１丁目６－８１,勝山地区,未開設,136.50646,36.061789,0,1,1,0,0,0,1,0
弁天緑地,べんてんりょくち,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市本町１丁目ほか,勝山地区,未開設,136.495262,36.058493,0,1,1,0,0,0,0,0
長尾山総合公園,ながおやまそうごうこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市村岡町寺尾５１－１１,村岡地区,未開設,136.506497,36.083523,0,1,1,0,0,0,1,0
浄化センタ一,じょうかせんたー,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市松原１３７－２9,勝山地区,未開設,136.49204,36.066888,0,1,1,0,0,0,1,0
後町公園,うしろまちこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市栄町１丁目５,勝山地区,未開設,136.494568,36.061808,0,1,1,0,0,0,1,0
栄町公園,さかえまちこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市栄町３丁目５,勝山地区,未開設,136.497314,36.064889,0,1,1,0,0,0,1,0
毛屋公園,けやこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市毛屋町２０１,猪野瀬地区,未開設,136.509053,36.047848,0,1,1,0,0,0,1,0
勝山市林業者健康トレーニングセンター,かつやましりんぎょうしゃけんこうとれーにんぐせんたー,指定避難所,[],174,勝山市,勝山市毛屋町1408,猪野瀬地区,未開設,136.511113,36.043751,0,0,0,0,0,0,0,0
北部第１公園,ほくぶだいいちこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市滝波町１丁目１０５,村岡地区,未開設,136.494382,36.070768,0,1,1,0,0,0,1,0
刀清水公園,かなたしょうずこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市滝波町２丁目２０２,村岡地区,未開設,136.494582,36.072589,0,1,1,0,0,0,1,0
滝波公園,たきなみこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",,勝山市,勝山市滝波町３丁目５０１,村岡地区,未開設,136.489732,36.073072,0,1,1,0,0,0,1,0
